#Cluster          RA        DEC      R_Sun    DR     R_GC    DR   N_RV   N_PM    Mass         DM         V     DV   M/L_V   DM/L    rc     rh,l     rh,m     rt    rho_c  rho_h,m   sig_c   sig_h,m lg Trh  lg Mini  T_Diss  M_Low  M_High       MF          sig0    vesc    etac   etah
# Name                               [kpc]  [kpc]   [kpc]  [kpc]                [Msun]      [Msun]        [mag]      [Msun/Lsun]   [pc]    [pc]     [pc]    [pc]  [Ms/pc3][Ms/pc3] [Ms/pc2] [Ms/pc2] [yr]   [Msun]   [Gyr]  [Msun]  [Msun]      Slope      [km/s]  [km/s]               
#  (1)            (2)       (3)       (4)     (5)    (6)     (7)  (8)    (9)     (10)        (11)      (12)   (13)   (14)   (15)   (16)    (17)     (18)    (19)     (20)    (21)    (22)    (23)    (24)    (25)     (26)   (27)    (28)    (30)    (32)    (33)    (34)    (35)   (36)
NGC_104          6.02379  -72.08131   4.52   0.03    7.52    0.01  7177  27460  8.53e+05   5.35e+03    4.08   0.05   1.87   0.09   0.61    4.03     6.44   124.63    4.72    2.61    4.80    3.60    9.70    6.24    106.3   0.22    0.86   -0.65 +- 0.12    11.9    47.4   -0.40  -0.04
NGC_288         13.18850  -26.58261   8.99   0.09   12.21    0.06   549   2637  9.62e+04   3.75e+03    8.10   0.04   2.22   0.12   3.50    5.84     8.56    95.16    1.83    1.26    2.78    2.42    9.49    5.60      9.3   0.22    0.82   -0.66 +- 0.11     3.1    10.9   -0.31  -0.10
NGC_362         15.80942  -70.84878   8.83   0.10    9.62    0.06  2342   4286  2.52e+05   3.91e+03    6.48   0.03   1.28   0.04   0.43    2.21     3.36    86.94    4.57    2.91    4.61    3.63    9.01    6.05      7.5   0.26    0.82   -0.76 +- 0.13     8.6    34.0   -0.38  -0.11
Whiting_1       30.73750   -3.25278  30.59   1.17   35.15    1.11     3      0  1.37e+03   2.73e+02   14.62   0.08   0.34   0.07   1.88    9.42    16.53    43.92    0.32   -1.44    1.01   -0.02    9.22    3.68      6.5   0.67    0.99   -1.16 +- 0.60     0.3     1.1   -0.16  -0.03    
NGC_1261        48.06754  -55.21622  16.40   0.19   18.28    0.17   345   3179  1.72e+05   3.22e+03    8.31   0.04   1.54   0.06   1.05    3.25     4.86   138.12    3.40    2.25    3.83    3.15    9.21    5.75     13.9   0.33    0.83   -0.61 +- 0.13     5.7    21.4   -0.34  -0.11
Pal_1           53.33350   79.58105  11.18   0.32   17.41    0.29     7      0  9.26e+02   1.83e+02   13.95   0.03   2.15   0.43   0.46    2.01     3.43    22.84    2.03    0.44    2.12    1.18    7.82    4.09      1.2   0.20    1.00   -0.51 +- 0.17     0.5     1.9   -0.23  -0.08    
AM_1            58.75959  -49.61528 118.91   3.40  120.27    3.28     2      0  1.96e+04   3.92e+03   15.07   0.05   0.83   0.17   6.92   14.79    20.32   262.61    0.18   -0.55    1.42    0.98    9.75    4.59    133.3   0.65    0.82   -1.07 +- 0.34     0.9     3.3   -0.25  -0.05    
Eridanus        66.18561  -21.18678  84.68   2.89   89.76    2.78    14      0  9.29e+03   1.86e+03   15.02   0.03   0.74   0.15   9.23   13.64    18.83   157.30   -0.37   -0.78    1.00    0.73    9.57    4.30     63.8   0.59    0.81   -1.06 +- 0.33     0.7     2.2   -0.21  -0.09    
Pal_2           71.52462   31.38150  26.17   1.28   34.19    1.25    16    490  2.20e+05   3.89e+04   12.64   0.06   1.26   0.23   1.68    4.82     7.64   121.33    2.92    1.77    3.54    2.87    9.61    6.26      6.6   0.55    0.80   -1.90 +- 0.23     5.0    19.2   -0.37  -0.08    
NGC_1851        78.52816  -40.04655  11.95   0.13   16.69    0.11  8217   4973  2.83e+05   3.63e+03    7.07   0.04   1.48   0.06   0.14    1.75     3.16   123.69    6.32    3.03    5.42    3.73    9.00    6.02     10.9   0.20    0.83   -0.70 +- 0.13    10.3    41.1   -0.41  -0.12
